q1,q2,q3,q4,q5,q6
-2.6426692382311936,-1.6101968946589016,1.7873344640593216,-0.17713756940042003,1.2843215787560478,-3.141592653589793
-2.6414408783310366,-1.6101835259587705,1.7873159178294138,-0.17713239187064334,1.2855499386562048,-3.141592653589793
-2.640213044455421,-1.6101723140122295,1.7872955967362276,-0.17712328272399813,1.2867777725318208,-3.141592653589793
-2.638985103358325,-1.6101611713427462,1.7872715039250306,-0.17711033258228448,1.2880057136289165,-3.141592653589793
-2.6377571916055276,-1.6101505059272518,1.7872440298668473,-0.17709352393959543,1.2892336253817138,-3.141592653589793
-2.636528434240459,-1.6101373927937466,1.7872103764436071,-0.17707298364986057,1.2904623827467825,-3.141592653589793
-2.635298825054571,-1.610121737485927,1.7871704534303106,-0.17704871594438365,1.2916919919326704,-3.141592653589793
-2.634068686991093,-1.610104540014751,1.787125217746508,-0.17702067773175711,1.2929221299961484,-3.141592653589793
-2.632838353632294,-1.6100868532544905,1.7870756769991432,-0.17698882374465263,1.2941524633549473,-3.141592653589793
-2.631607578474873,-1.6100677996605717,1.7870209919253668,-0.1769531922647951,1.2953832385123683,-3.141592653589793
-2.630375597437967,-1.610044739898043,1.786958637529523,-0.1769138976314799,1.2966152195492744,-3.141592653589793
-2.6291435304847193,-1.6100213730364086,1.7868921533978408,-0.17687078036143222,1.2978472865025223,-3.141592653589793
-2.6279113786047046,-1.6099976546161563,1.7868214974891883,-0.176823842873032,1.2990794383825368,-3.141592653589793
-2.6266788834369508,-1.609972652589918,1.7867457784778913,-0.17677312588797323,1.3003119335502906,-3.141592653589793
-2.625446295560152,-1.609947166126263,1.7866657616133181,-0.17671859548705515,1.3015445214270893,-3.141592653589793
-2.6242135500511203,-1.6099209202726281,1.7865811843998698,-0.17666026412724167,1.3027772669361213,-3.141592653589793
-2.6229807458436913,-1.6098942029157643,1.7864923229795333,-0.17659812006376896,1.30401007114355,-3.141592653589793
-2.621748900926435,-1.609870506523676,1.7864025203822145,-0.17653201385853845,1.3052419160608066,-3.141592653589793
-2.620517407409215,-1.609847701408152,1.7863097394706895,-0.17646203806253746,1.3064734095780266,-3.141592653589793
-2.619287371346973,-1.6098296399460075,1.7862176680908164,-0.17638802814480892,1.3077034456402683,-3.141592653589793
-2.6180578601833444,-1.6098130507117276,1.786123176443127,-0.17631012573139926,1.308932956803897,-3.141592653589793
-2.616829008436266,-1.6097983850757307,1.7860266975476418,-0.17622831247191106,1.3101618085509754,-3.141592653589793
-2.6156002198706165,-1.6097835000232574,1.785926181395427,-0.1761426813721696,1.311390597116625,-3.141592653589793
-2.6143724981495025,-1.6097719374421848,1.7858250190137155,-0.17605308157153066,1.312618318837739,-3.141592653589793
-2.6131444621065936,-1.6097587321349502,1.785718459266067,-0.17595972713111685,1.3138463548806478,-3.141592653589793
-2.6119158076187876,-1.6097427158195683,1.7856053849726987,-0.17586266915313042,1.3150750093684538,-3.141592653589793
-2.6106874462823226,-1.609727109627149,1.7854888803158833,-0.17576177068873422,1.316303370704919,-3.141592653589793
-2.609458099262998,-1.6097072096210365,1.7853644439660568,-0.17565723434502023,1.3175327177242435,-3.141592653589793
-2.6082278495139093,-1.6096832108010746,1.7852322635415732,-0.1755490527404986,1.318762967473332,-3.141592653589793
-2.606996798898905,-1.6096553813995162,1.78509259677109,-0.17543721537157375,1.3199940180883365,-3.141592653589793
-2.605766568350704,-1.6096296131365373,1.7849510846813388,-0.1753214715448015,1.3212242486365375,-3.141592653589793
-2.604535719931684,-1.6096005435944096,1.784802595344323,-0.17520205174991332,1.3224550970555575,-3.141592653589793
-2.6033041450831766,-1.6095676705836786,1.7846466490960557,-0.1750789785123772,1.323686671904065,-3.141592653589793
-2.602072233479394,-1.609532351833675,1.7844845468679589,-0.17495219503428383,1.3249185835078472,-3.141592653589793
-2.6008415029290006,-1.6095002264606548,1.7843216889448341,-0.1748214624841793,1.3261493140582408,-3.141592653589793
-2.5996119713394292,-1.6094713604376467,1.7841581404079632,-0.17468677997031645,1.3273788456478122,-3.141592653589793
-2.5983836493352164,-1.6094457932257888,1.7839939409732208,-0.174548147747432,1.328607167652025,-3.141592653589793
-2.597155991915795,-1.6094214381823162,1.783827094594976,-0.1744056564126597,1.3298348250714462,-3.141592653589793
-2.595929426414847,-1.6093999073568097,1.7836591466808212,-0.17425923932401144,1.3310613905723945,-3.141592653589793
-2.5947024897952717,-1.6093755365460718,1.783484675342032,-0.17410913879596013,1.3322883271919699,-3.141592653589793
-2.5934744870458455,-1.6093455314492167,1.7833010063061279,-0.1739554748569112,1.333516329941396,-3.141592653589793
-2.592245410058834,-1.60930972357877,1.7831079794805171,-0.17379825590174725,1.3347454069284073,-3.141592653589793
-2.5910161134027465,-1.6092713274204313,1.782908674514443,-0.17363734709401157,1.3359747035844949,-3.141592653589793
-2.5897861162795386,-1.6092283544503108,1.7827011885173356,-0.17347283406702485,1.3372047007077028,-3.141592653589793
-2.5885577317680917,-1.609189856433703,1.7824941924237883,-0.1733043359900852,1.3384330852191497,-3.141592653589793
-2.5873297857079613,-1.6091511700632422,1.7822832222220282,-0.17313205215878602,1.33966103127928,-3.141592653589793
-2.5861024583650516,-1.6091129627578444,1.7820689192413355,-0.17295595648349105,1.3408883586221898,-3.141592653589793
-2.584875112653119,-1.6090726229361707,1.7818487839843522,-0.1727761610481815,1.3421157043341225,-3.141592653589793
-2.5836459704645804,-1.609022862338308,1.7816158364166224,-0.1725929740783143,1.343344846522661,-3.141592653589793
-2.5824163382527354,-1.6089687972112874,1.781374978665261,-0.17240618145397368,1.344574478734506,-3.141592653589793
-2.5811893494548164,-1.6089231326461548,1.7811383847559008,-0.17221525210974598,1.3458014675324252,-3.141592653589793
-2.579965262548467,-1.608887014559085,1.7809071561906642,-0.1720201416315792,1.3470255544387744,-3.141592653589793
-2.578741999971624,-1.6088519470564064,1.7806731560733078,-0.17182120901690134,1.3482488170156175,-3.141592653589793
-2.577518888490173,-1.608815092416245,1.7804336677844226,-0.1716185753681776,1.3494719284970687,-3.141592653589793
-2.5762953253985286,-1.608773846158675,1.780186197767465,-0.17141235160878998,1.3506954915887128,-3.141592653589793
-2.5750717567750487,-1.608729957677235,1.779932424300049,-0.17120246662281402,1.3519190602121927,-3.141592653589793
-2.573848525310134,-1.6086847777136144,1.7796736439661114,-0.17098886625249698,1.3531422916771074,-3.141592653589793
-2.572624919734679,-1.6086352051103578,1.7794068869391277,-0.1707716818287699,1.3543658972525627,-3.141592653589793
-2.5714019074400563,-1.6085852477521374,1.7791359964783344,-0.17055074872619702,1.3555889095471851,-3.141592653589793
-2.5701787676802517,-1.6085317442517753,1.7788579448825295,-0.1703262006307542,1.35681204930699,-3.141592653589793
-2.5689549499042665,-1.6084721978487917,1.7785703408069204,-0.17009814295812875,1.3580358670829749,-3.141592653589793
-2.5677313914784947,-1.6084105260597799,1.7782769413182975,-0.16986641525851764,1.3592594255087467,-3.141592653589793
-2.5665079633719765,-1.6083460716768063,1.7779771186382574,-0.16963104696145104,1.360482853615265,-3.141592653589793
