R1J1,R1J2,R1J3,R1J4,R1J5,R1J6,R2J1,R2J2,R2J3,R2J4,R2J5,R2J6
0.0,-1.5707963267948966,0.0,0.0,0.0,0.0,0.0,-1.5707963267948966,0.0,0.0,0.0,0.0
-9.072930894981371e-07,-1.5707963392342443,-6.699184851069844e-07,1.034864192518011e-07,6.178573826210196e-07,2.396147685160953e-24,5.292142453764641e-07,-1.5707963392342443,-6.699184851069842e-07,1.0348641925180102e-07,3.3909287525488815e-07,-1.717750825227304e-23
-7.222016761714499e-06,-1.570796425811609,-5.332524389777093e-06,8.237477647490186e-07,4.918120092930803e-06,1.9073239889160794e-23,4.212524260226675e-06,-1.570796425811609,-5.332524389777092e-06,8.23747764749018e-07,2.699165746124417e-06,-1.3673227974328109e-22
-2.4252027989770198e-05,-1.5707966592998135,-1.7906982914050283e-05,2.7662015343289217e-06,1.6515384841407294e-05,6.404924869458716e-23,1.4145945604583462e-05,-1.5707966592998135,-1.790698291405028e-05,2.7662015343289196e-06,9.063983840505257e-06,-4.591563803919943e-22
-5.719722115176528e-05,-1.5707971109914711,-4.2232742858776545e-05,6.523950944477816e-06,3.89507269074134e-05,1.5105701856083948e-22,3.336252042458034e-05,-1.5707971109914711,-4.223274285877654e-05,6.523950944477812e-06,2.1376962308475313e-05,-1.0828978526497986e-21
-0.00011115025750777211,-1.570797850708986,-8.207007524993477e-05,1.2677868134934775e-05,7.569219690562343e-05,2.9354619286212346e-22,6.483274294849135e-05,-1.570797850708986,-8.207007524993475e-05,1.2677868134934764e-05,4.154143885795469e-05,-2.1043745264698714e-21
-0.0001910972946768289,-1.5707989468145558,-0.00014110061196295165,2.1796677373295373e-05,0.00013013531755244972,5.046851404254463e-22,0.00011146498498277106,-1.5707989468145558,-0.00014110061196295163,2.1796677373295356e-05,7.142094639036664e-05,-3.6179878302765606e-21
-0.0003019187161139328,-1.570800466220172,-0.0002229278843470204,3.443703825961536e-05,0.00020560358043246864,7.97362882068609e-22,0.00017610592140809413,-1.570800466220172,-0.00022292788434702035,3.4437038259615334e-05,0.00011283948563629837,-5.716136601934749e-21
-0.0004483898605870334,-1.5708024743976226,-0.0003310778618494196,5.1143628931014434e-05,0.00030534894276484757,1.1841910171382041e-21,0.00026154095567539537,-1.5708024743976226,-0.00033107786184941956,5.114362893101439e-05,0.0001675817977911622,-8.489230899719246e-21
-0.0006351817516540263,-1.5708050353884917,-0.00046899949063983236,7.244922926627995e-05,0.000432552324169771,1.6775056500476077e-21,0.0003704946453019098,-1.5708050353884917,-0.0004689994906398323,7.24492292662799e-05,0.0002373936371508563,-1.2025705813284148e-20
-0.0008668618271397466,-1.570808211814162,-0.0006400652322346648,9.887480409047064e-05,0.0005903241034348674,2.289369316814975e-21,0.0005056311273672119,-1.570808211814162,-0.0006400652322346647,9.887480409047056e-05,0.00032398204374742577,-1.6412035274632227e-20
-0.0011478946686129612,-1.5708120648858173,-0.0008475716021213649,0.00013092958637952036,0.0007817046152816348,3.0315729116012346e-21,0.0006695545440092565,-1.5708120648858173,-0.0008475716021213648,0.00013092958637952025,0.0004290156159847235,-2.1732745869084302e-20
-0.0014826427308633654,-1.5708166544144417,-0.0010947397083827424,0.0001691111604648418,0.001009664647131869,3.915637613248085e-21,0.0008648094679204177,-1.5708166544144417,-0.0010947397083827422,0.00016911116046484166,0.0005541247832740715,-2.8070430646248615e-20
-0.0018753670713785701,-1.570822038820822,-0.001384715790321285,0.00021390554523793007,0.001277105935874087,4.952816811815982e-21,0.0010938813278435285,-1.570822038820822,-0.0013847157903212847,0.00021390554523792988,0.0007009020786699205,-3.5505762930990176e-20
-0.002330228079821101,-1.5708282751455502,-0.0017205717570834803,0.00026578727735496665,0.0015868616646299567,6.154098035122143e-21,0.001359196834067921,-1.5708282751455502,-0.00172057175708348,0.00026578727735496644,0.0008709024115055124,-4.411751013440019e-20
-0.002851286207505391,-1.5708354190590232,-0.002105305726284133,0.00032521949444142294,0.0019416969595207215,7.530204875278535e-21,0.0016631244039254684,-1.5708354190590232,-0.0021053057262841327,0.0003252194944414227,0.0010656433400285411,-5.398254756476543e-20
-0.0034425026968747715,-1.570843524871445,-0.002541842562630684,0.00039265401829666435,0.0023443093864336274,9.091598915229872e-21,0.002007974587286621,-1.570843524871445,-0.0025418425626306837,0.00039265401829666403,0.0012866053440368124,-6.517587223853754e-20
-0.004107740310978467,-1.570852645542828,-0.003033034416547529,0.00046853143809855315,0.0027973294477883492,1.0848481655291607e-20,0.002396000492056448,-1.570852645542828,-0.0030330344165475287,0.00046853143809855283,0.0015352320975139057,-7.777061669130251e-20
-0.004850764062948588,-1.5708628326929948,-0.003581661262800339,0.0005532811936080533,0.0033033210793034164,1.2810796439687932e-20,0.0028293982096706787,-1.5708628326929948,-0.0035816612628003382,0.000553281193608053,0.001812930741264835,-9.183806278874998e-20
-0.0056752419454771256,-1.570874136611579,-0.004190431439120376,0.0006473216583738335,0.003864782146762642,1.4988230383089763e-20,0.00331030724059174,-1.570874136611579,-0.004190431439120375,0.0006473216583738331,0.0021210721555517094,-1.0744765553764266e-19
-0.006584745660292941,-1.5708866062680273,-0.004861982184828814,0.0007510602229368709,0.004484144942781545,1.7390216297152742e-20,0.0038408109198047966,-1.5708866062680273,-0.004861982184828812,0.0007510602229368704,0.0024609912327293944,-1.2466701689678562e-19
-0.00758275134763877,-1.5709002893216004,-0.0055988801794610585,0.0008648933780350551,0.005163776683573779,2.002593461705523e-20,0.004422936842313794,-1.5709002893216004,-0.005598880179461058,0.0008648933780350545,0.0028339871498811718,-1.4356195958799588e-19
-0.008672640315748196,-1.5709152321313746,-0.0064036220813910635,0.000989206797807792,0.0059059800057175635,2.2904315328036307e-20,0.0050586572886374935,-1.5709152321313746,-0.006403622081391063,0.0009892067978077913,0.0032413236414544026,-1.6419650090707141e-19
-0.009857699770322671,-1.5709314797662426,-0.007278635066455656,0.0011243754230006067,0.006712993462922101,2.6034039891933757e-20,0.005749889650305517,-1.5709314797662426,-0.007278635066455655,0.001124375423000606,0.0036842292718961894,-1.8663287653476105e-19
-0.011141123544008475,-1.5709490760149163,-0.008226277366578839,0.0012707635441697482,0.007586992022794008,2.942354317372205e-20,0.006498496855354379,-1.5709490760149163,-0.008226277366578837,0.0012707635441697473,0.004163897708289027,-2.1093155434773318e-19
-0.012526012825873744,-1.5709680633959273,-0.009248838808396132,0.0014287248848867925,0.008530087563603737,3.3081015368050374e-20,0.007306287793823535,-1.5709680633959273,-0.00924883880839613,0.0014287248848867912,0.0046814879929864784,-2.3715124822954575e-19
-0.014015376890885438,-1.5709884831676277,-0.01034854135187887,0.0015986026849432464,0.009544329371052021,3.70144039257806e-20,0.008175017743251422,-1.5709884831676277,-0.010348541351878869,0.001598602684943245,0.005238124816248826,-2.6534893188161533e-19
-0.015612133829386348,-1.5710103753381934,-0.011527539628958543,0.001780729783555152,0.010631704635036276,4.123141548052529e-20,0.009106388794171486,-1.5710103753381934,-0.011527539628958541,0.0017807297835551504,0.005834898788878735,-2.9557985263418643e-19
-0.017319111276572086,-1.5710337786756232,-0.012787921482151096,0.0019754287025676893,0.011794138946417036,4.573951777518568e-20,0.010102050275608239,-1.5710337786756232,-0.012787921482151092,0.0019754287025676876,0.006472866714856913,-3.2789754525730125e-19
-0.01913904714196808,-1.5710587307177426,-0.01413170850318125,0.0021830117296597804,0.013033496793784387,5.0545941588489665e-20,0.011163599180573285,-1.5710587307177426,-0.014131708503181248,0.0021830117296597787,0.007153051863977777,-3.623538457717686e-19
-0.02107459033890655,-1.5710852677822027,-0.015560856571606847,0.0024037810015486937,0.014351582060224393,5.565768266152986e-20,0.012292580591561367,-1.5710852677822027,-0.015560856571606843,0.002403781001548692,0.007876444244485104,-3.9899890526013346e-19
-0.023128301514003545,-1.5711134249764842,-0.017077256393443128,0.0026380285871946472,0.01575013852008551,6.10815036243015e-20,0.013490488106046408,-1.5711134249764842,-0.017077256393443124,0.0026380285871946455,0.008644000875707705,-4.378812036776465e-19
-0.025302653776635865,-1.5711432362078968,-0.018682734039787062,0.0028860365710054094,0.017230850335745,6.682393592224045e-20,0.014758764261977532,-1.5711432362078968,-0.01868273403978706,0.0028860365710054073,0.009456646060695063,-4.790475636632331e-19
-0.027600033428418155,-1.5711747341935813,-0.020379051485441717,0.003148077136040912,0.018795342554375424,7.289128174276133e-20,0.01609880096327515,-1.5711747341935813,-0.020379051485441717,0.0031480771360409094,0.010315271658853032,-5.225431643504633e-19
-0.03002274069267976,-1.5712079504705116,-0.022167907147540484,0.0034244126472178387,0.020445181604710972,7.928961594179526e-20,0.01751193990532693,-1.5712079504705116,-0.022167907147540477,0.003424412647217837,0.011220737358579449,-5.684115551785201e-19
-0.03257299044394191,-1.5712429154054952,-0.0240509364241715,0.003715295734514249,0.022181875793813983,8.602478797032819e-20,0.018999473000483914,-1.5712429154054952,-0.0240509364241715,0.0037152957345142463,0.012173870949899853,-6.166946697031707e-19
-0.03525291293739447,-1.5712796582051751,-0.026029712233001868,0.004020969376174157,0.024006875803841282,9.310242380093849e-20,0.02056264280355649,-1.5712796582051751,-0.02602971223300186,0.0040209693761741536,0.013175468597103076,-6.674328394077335e-19
-0.0380645545383732,-1.5713182069260316,-0.028105745549902066,0.004341666981912162,0.025921575188810705,1.0052792785433541e-19,0.0222026429373105,-1.5713182069260316,-0.02810574554990206,0.0043416669819121585,0.014226295111376991,-7.206648075140502e-19
-0.0410098784518365,-1.5713585884843824,-0.030280485947570178,0.004677612476118027,0.027927310871367413,1.0830648492589652e-19,0.02392061851796318,-1.5713585884843824,-0.03028048594757017,0.004677612476118024,0.015327084223444063,-7.764277427934517e-19
-0.04409076545184259,-1.5714008286663856,-0.032555322134156295,0.005029020381061306,0.030025363639550433,1.1644306211220633e-19,0.025717666580679345,-1.5714008286663856,-0.03255532213415629,0.005029020381061302,0.01647853885619713,-8.347572533777315e-19
